user_id,username,email,phone,location,preferred_fuel,preferred_category,loyalty_tier,total_spent,join_date,last_login
1,paula84,prestonchristopher@example.org,334-205-1227,Dallas,Gas,SUV,Platinum,3930.72,2023-10-18,2025-10-21 00:03:04.866662
2,pcarter,rebecca88@example.net,001-295-851-7015,Los Angeles,Electric,SUV,Gold,9934.24,2023-05-19,2025-10-17 22:48:54.618285
3,shawnjenkins,ncollins@example.org,+1-381-773-4040,Dallas,Electric,Truck,Bronze,2438.58,2024-03-06,2025-10-19 11:13:59.671044
4,robin27,jerry16@example.com,5937082139,Denver,Gas,Sports,Silver,639.2,2024-01-07,2025-10-23 14:15:13.195644
5,elizabeth93,wendy06@example.com,001-330-831-5833x84766,Atlanta,Electric,Sedan,Platinum,8973.26,2025-07-17,2025-10-02 20:47:55.537719
6,weberwilliam,jeansmall@example.com,001-660-584-0352x3025,Seattle,Hybrid,Sports,Bronze,8732.78,2023-08-13,2025-10-05 12:09:05.142549
7,qsmith,gary86@example.org,278-490-0366x87157,Boston,Hybrid,Sports,Gold,245.18,2025-06-06,2025-10-07 06:08:01.052782
8,ricechristina,sara45@example.com,(478)800-1077,Boston,Electric,Sedan,Bronze,1857.83,2024-04-06,2025-10-04 03:44:24.448954
9,vmartinez,sean97@example.net,(960)811-8041x2024,Miami,Electric,SUV,Gold,7098.27,2025-07-10,2025-10-10 02:34:36.326033
10,wendy37,mark45@example.org,9772704475,Miami,Gas,SUV,Bronze,2637.18,2023-09-30,2025-10-25 17:15:48.084846
11,pamelasmith,jsmith@example.net,994-495-4149x79660,Boston,Diesel,SUV,Bronze,6163.7,2023-11-15,2025-10-01 23:37:54.985033
12,edwardlawrence,christinagardner@example.com,451-510-4136,Boston,Hybrid,SUV,Gold,1569.87,2023-05-26,2025-10-25 10:00:48.141990
13,hutchinsonchristopher,russelljessica@example.org,697.612.6198x206,New York,Hybrid,Sedan,Gold,4778.79,2023-09-24,2025-10-04 17:52:26.983358
14,heidi49,ubrown@example.com,+1-627-905-1238x308,Boston,Electric,Sports,Gold,362.79,2025-04-23,2025-10-20 16:29:25.424556
15,whitekimberly,andreapotter@example.org,542-673-8819,Boston,Diesel,Truck,Bronze,6303.0,2022-12-15,2025-10-01 08:26:35.593744
16,joshua63,carlsonjonathan@example.com,8125593409,Seattle,Electric,Sports,Platinum,3110.41,2023-10-11,2025-10-25 06:17:54.848824
17,catherinewilson,catherineobrien@example.com,717-510-0863x9150,New York,Hybrid,Truck,Silver,1168.64,2024-05-09,2025-10-30 09:57:23.955197
18,brianturner,eric34@example.com,9377570805,Chicago,Electric,Sedan,Gold,6207.4,2025-08-11,2025-10-07 16:09:23.539486
19,karen44,petersonlisa@example.net,827.932.1684,Chicago,Hybrid,SUV,Silver,4874.09,2025-04-02,2025-10-17 00:54:10.997318
20,chanthomas,rebecca42@example.com,356.800.9814,Chicago,Electric,Sports,Silver,5689.81,2025-05-11,2025-10-07 16:29:48.166153
21,kwalker,kara24@example.org,389-922-1395x0895,New York,Hybrid,Sedan,Silver,9514.2,2024-06-08,2025-10-06 16:16:27.247579
22,christopher77,jay38@example.org,001-855-467-4993,Chicago,Gas,Sedan,Gold,1660.69,2024-11-13,2025-10-08 10:23:14.563244
23,teresarodriguez,micheal14@example.net,001-453-639-9910x68505,Atlanta,Electric,Sedan,Bronze,2666.72,2024-08-05,2025-10-25 21:31:36.931609
24,gallowaykatherine,allentravis@example.net,444-654-0830x20129,Los Angeles,Diesel,Sedan,Gold,5561.35,2023-08-08,2025-10-23 06:52:57.345237
25,danieljohns,tina35@example.net,+1-213-651-2453,Boston,Hybrid,Sedan,Bronze,3999.63,2025-05-20,2025-10-22 02:11:18.275024
